User_Name,Comment
Paul Rice,"Those business don’t have to worry about me coming to their little virus 🦠 dens, this virus 🦠 will be out their for five years or more killing people with a vengeance."
Planet Bolshevik,I’m convinced the media wants the country to be destroyed economically. Everything is spin and negativity
Dominique Hardie,"While your counting all the deaths from 911 ,Iraq , Afghanistan and comparing them to covid 19 just remember this ABC.  EPSTIEN  DIDNT KILL HIMSELF.  JFK was right, there are dark forces working against us from within our own country, he was killed a week later."
stripes,Who would even care if your hair is not done. Is it a matter of life and death not to have a  hair cut? Stupidity at its finest! 😱😱😱
Tiffanys Got time today,You can’t control a cough .....remember that.
O’ Mahoney,"Oh, oh oh, can I be first to get sick?"
ace boogie,50 k have died this month? Y does that not sound right? Most graphics show total since the start not 1 month. There is another disease that kills someone every 37 seconds(per cdc) y is that not a problem?
Brittany Lucero,Toilet paper and haircuts. Humans are not woke.
Nadine Blake,"If the state of Georgia and the residents decide that going out amongst one another is safe and won't be an issue then I would like to believe and pray to God that they keep their asses in Georgia!
It's irresponsible and downright wrong to go to another state potentially spreading this virus that DOES EXIST and has killed so many people. And clearly no one is exempt, as this virus kills all different ages, races, and demographics."
Ahny Mus,My niga it stay in the air and on surfaces way after people leave.
im sleepy,"As dumb as I think reopening is, I hope it pays off because id rather be wrong then read about people that fall seriously ill or pass away as a result of reopening businesses."
lovableasshole,"The restaurant owner talks about customer safety, after his employee TOUCHES HIS MASK BEFORE CUTTING FOOD 🤦🤦🤦🤦🤦🤦🤦"
prodical,The fraudulent media once again trying to fear monger. The latest antibody coronavirus test are proof that this was over hyped by the phony news media. We now know that several million people across multiple states already had Covid and have the antibody. This also means that the mortality rate was also over hyped and inflated.
Chris Tr1ut8,"Omg, how many times are people going to compare deaths between a virus and a war. They are not comparable things. This is an interesting thing to observe. I know this virus and pandemic are real, but they wouldn’t have to be. The government and media are 100% in control of people. They could tell the people whatever they want to tell them and people will do as they’re told. They say that the stay home orders are the only reason we have kept the numbers to where they are at. That just doesn’t make sense though. How would we even know that? How do we know the trajectory of the curve wasn’t entirely timing based. We can’t really compare it to anything other than Sweden and South Korea. Every other country in the world did what we did here. South Korea is probably a bad example to use, but Sweden hasn’t faired any worse off than the US. I personally don’t think it made much of a difference. I was all for the shut down when it started, but I’m changing my mind at this point."
Jackal N,"Remember before the measles outbreak last year in America, many anti-vaccers where so high and mighty about their rights.  they had to see the effects on their babies before they rush to get it. The deaths in USA are merely numbers to many, only until it hits home many are selfish, ignorant and just dumb stupid."
Catend,"A little confused about why he would specifically choose bowling alleys, estheticians,  massages parlors, and movie theatres to re-open.  These are the most essential businesses??"
lol_ speed3,"Whats the difference with people crowding hardware stores like lowes and home depot or grocery stores like walmart vs people in restaurants, and other places. As long as social distancing and other safe practices are practiced there isn't."
Jorge Perez,"I do not get these businesses sprinting to open in states like

Georgia which have not met reopening guidelines. Particularly, 

considering that according to polls the majority of the country 

does not agree with moving too fast. Eighty percent say they would"
Tamara Wendt,I've seen so many people handling food who touch their face masks to adjust them right where they breathe. You see it in this video with the restaurant worker... Gross plus dangerous.
David Ellis,"I would not have returned to work in Georgia. Would have told my boss "" Take This Job & Shove It "" This is not the time for vanity."
antmagor,Decisions like that should be made by doctors not politicians.
Bertdog,"It is astounding to see the number of people willing to give up their rights to the Chinese Wuhan virus.  I pity you fools.  In the end there will be more deaths from society shutting down then from the virus itself.  Most ""non-essential"" jobs are in the government bureaucracy, not in the private sector.  Self-distancing, better hygiene,  better care for the elderly (and those with health issues} makes sense but shutting down people's livelihoods is wrong and just plain evil.  I would also agree that those that feel they need to hide under their beds should feel free to do so."
blastman8888,I'm not all sure Doctors know exactly what to do they are basing their modals that have wildly different outcomes. Example Mexico never closed anything down and they have only 5000 deaths nation wide. If anything I would have expected 100-300k dead by now there.
udlock9,"After all the deaths, dont forget we have a war to fight too. Lets have a war with all our enemy nations, people can die but we must show them who is the boss in the world. Just breed more children, the weak can perish but America must thrive again by continuing the wars against China, Russia, Iran, etc. I don’t care how many weaklings die from the virus but we must fight on, that’s what our president want and what USA want. Where ever the president lead us, I will follow."
Joshua Park,"simply U.S. did not reach the peak in the number of confirmed cases. why do we risk the public health?  GREAT 'MERICA can't withstand such an economic impact while FED is printing money like this? where's all that money going?(I know the answer)
I know China's number is cooked but at least they removed quarantine when they see almost no more increase in the confirm cases. Look at S.Korea. they achieved it by doing so many tests. Increase the capacity of testing first!!! why do we plan to increase it after we open the economy????"
Luc Skywalkr,Good luck folks your test rats in a great experiment to reopen the virus so head out for that haircut you been dying to get
A_Socialist_Channel,She has to work because our corporate owned government which is owned by big business won’t bail out small business or people only corporations. They can print 4 trillion and more to fund massive corporations that use their money on stock buybacks but they can’t pay you to stay home. You have to work because our economic system is a f**ing joke and people are too brainwashed too realize capitalism is a disease
Laude VonToke,How long until business get tired of following guidelines & slip up 😒
Hugh Jass,Good to see muricans have their priorities right...no ones going to see your new haircut or nails in your coffin.
Denise Wright,I wouldn't subscribe ABC if you paid me too very dissapointing news station
punks not dead,"Sorry,  but I'm a massage therapist. (Not in Georgia) and there's no way im giving anybody a massage right now.  Too soon and you CANNOT social distance in that profession, PERIOD! 
(posted by unemployed with NO INCOME from March 11th.)"
Dylan-Christopher Massie,"of course the actual people of Atlanta are concerned, it's the only place in Georgia that actually contributes anything to the US economy.  And the governor doesn't do anything that actually makes Georgia money, he just leeches off of it."
Lonnie Smith,Trump straight outlier Because hes been trying to open every chance to started
Stefanie with an F,"So the germiest places are allowed to open but TJ Maxx is still closed? make this makes sense
this is the same governor who pointed a gun at a child and said he rounds of Mexicans and puts them in his truck. I did not vote for him and I’m ready for him to go"
Bobby Phifer,"Ny is  the example  you don't see them reopening , this how there problem started im glad I dont stay in atl it can get real quick"
Exoress Delivers,I disagree with Georgia to open now and the governor is wrong. But that said I certainly hope Georgia's experiment is a phenomenal success. If the curve stays flat hallelujah for us all!
YOUNG WAFFLES,News stations are panicking because after this is all over no one will watch the news and they’re ratings will go down and they’re revenue drops drastically lol that’s the only reason they will say “a choice they might regret”
A_Socialist_Channel,"The number of people killed in Korea , Afghanistan Iraq from THEIR side? SEVEN MILLION and that’s a conservative estimate. They always only mention American casualties like only American lives matter"
Jessie Garcia,Great job Georgia! Takes allot of courage but looks like y'all are being safe and being smart.😉🇺🇸
D,"10,000 more to go.....

The flu kills 300,000 every year in 4 months, ;) just reminding you"
tutnetam,"If some business owners scared - do NOT open, but let OTHERS OPEN UP! 🇺🇸🇺🇸🔥🔥🔥OPEN UP USA! #ENDTHELOCKDOWN NOW!"
Lars O,Fear and panic people... good lord can you get yourselves together and look at what is really happening?  Grocery stores have remained open.  People go there every day.  The infection rates are still going down.  The biggest help in all of this is people getting there act together as far as personal sanitation.  Before this mess I rarely saw guys that washed their hands when they left the restroom.  Yeah...ick.  But that is TYPICAL.  Now virtually everybody washes their hands.  People I ate lunch or dinner with rarely washed their hands before eating.  I bet they do now.  The social distancing is moderately effective but the personal sanitation is the key.  And getting the fear and panic under control is crucial people!  Stress lowers your immune response.  Think and stop allowing yourselves to be force fed panic.
Foxola,Stop fear mongering!!!
T M,#EndTheShutDown !!
David Smith,"It's easy for media people to be critical as some are.  Their jobs aren't in jeopardy.  Yet.  Over 50,000 people die from flu or flu related illness each year."
infallibleblue,I get it’s tough. The virus takes 14 days to incubate before you start getting really sick. Symptoms vary while that person is out and about. Georgia will find out in2 weeks. Good luck and God bless.
Frank Contreras,"You for got to add how many people die from car accidents Approximately 1.35 million people die in road crashes each year, on average 3,700 people lose their lives every day on the roads.
And there still more to be added from tobacco and alcohol and drugs. That makes corona virus's look tiny fraction."
Than Tai,This clip is a big joke. My classmates can find out at least 3-5 precaution problems. Ex salon owner used her old gloves to hold her “isolated hat” while interviewing. It was contaminated. Used comb could not be sanitized by using water. The front desk lady put her hand glove near her noises while answering the phone call. People in restaurant didn’t put masks on while working. Not many people used to put mask on in 8 hrs shift because of difficulty breathing. Is this reopen for early Halloween?
Huevito,and now you know why the south lost the war :V
Candise Ehlers,Those people want to work. It's a free country.
Brant Wehde,"I'm glad that this is totally factual and scientifically based. Every single documented case is 100% accurate. Please keep me safe because I almost have my new PS4 game beat. Safety first, freedom second. Slave nation forever."
Julie Dean,Be sure everyone wear mask to protect everyone or to each other
Ron B,Bowling alleys are Petri dishes UNDER THE BEST CIRCUMSTANCES! What are these hillbillies doing??!!!
Michael Newell,You better have mixed feelings about it. Please stay safe but nothing's going to change this unless we all change it together. Donald Trump and stupid Governors are not going to change this. American people have to change it with intelligence and careful interaction. Not to mention understanding and respect. Very very cautious respect. For you for me for all  strangers around us people we don't know Etc. If You don't understand this message? Then we're really in for a long haul as American citizens getting through this. Together!
Robert Williams,I guess the economy is more important than health
Luke Lemaster,no do they don't. more fake news.
Super man,"If you’re sick, please wear the mask. If you’re not sick, wear the mask to prevent the droplet from the sick."
Ray C.,Fake news.  The country needs to open up again. This bug is so overblown and hyped up they are now saying all deaths are attributed to this flu virus. Do you know anyone who has gotten sick? I know one person. My ex sister in law. she tested positive and was sick for 4 days.  That's it. I work in  military bldg. with hundreds of people and no one is sick.   This whole thing is a complete fraud.
Gang Liang,Be extremely cautious and re-open the economy is the right decision.
T M,GEORGIA - FIRST IN THE NATION!!
Tree Of Life,"I’m sorry but I’m not willing to die for money. Id let the economy crash before I gave away so many lives. They want the economy to survive not you. That’s taken years and years of them being your “protectors” but at the end of the day your life is worth less than their economy. If you die from this virus none of this matters. Right now, family, and making the most of your life is all that matters. Earth doesn’t need an economy to thrive 🌍"
Chris Page,"Lies, open up economy."
QUEST for REALITY,"Georgia goes for HERD IMMUNITY,
abandoning the elders?"
Eugene Setiawan,"Come on Trumpians and GOP’s senator do as your’s Royal Highness Trump command you, to take Hydroxychloroquine and boosted with injection of  any disinfectant. It will cure you from Covid-19. Decree by Royal Highness Donald will be announce and supported by FOX news. "
Gentle Singularity,It hasn't even been 2 months and these people already can't go without their superficial lifestyles. It's honestly sad.
Finalboss Oftheinternet,"If you want to stay home stay home, I want to get back to work"
Jeanne BlondeWomanStamping,These folks all need to be wearing masks. Too many people — including the reporter — not wearing protective masks. 😖
Tracy Douglas,"IMO it's too early. People have rights but so do the rest of us. Going back to work early is putting everyone else at risk. I have seen many different sides to this whole thing and so many different opinions and stats but why risk it? The fact is there is NO CURE, NO VACCINE, it kills thousands like me with asthma and COPD and 52,000 (possibly) people have died from this mess. I'm not saying to cower at home in fear but just give it a little longer to become less risky."
devilsabdicate1,"No one is forcing any one to open. If you own a business and don't feel good about opening don't do it......if you don't feel good about going in to a business that is open, don't do it stay home. If you work at one of these places that are opening and don't feel good about it, quit and stay home.. No one is forcing you, no one is demanding you to go back to work. its that simple......Its your choice in a free country....."
trail mark,"Jim Jones from Africa said if you drink his Kool-Aid you will die and go to heaven. Donald Trump says if you inject disinfectant into your veins instead of drugs it will cure you of the coronavirus and you can go back to work. Trump is a good guy hand-chosen by God according to Franklin Graham (Baptist), he will save this country and FOX–News agrees. Is there a difference between Donald Trump and Jim Jones, I do not think so except that Donald Trump can't lose. He will win if you live or die it really doesn't matter. If you go back to work or die-off of Social Security you will be saving the government money. I grew up trying to be an independent person I am going to die in a commune where everybody is anxious to see God one way or another. Stupid will be with us for another four years at least. I don't know what is worse dying broke or living stupid? Maybe the world will get lucky and will be given both this time around, the world will have to vote on it!"
Alla Nobleton,the consequences will show up  very soon in incising death toll in Georgia
Ivory Fyall,Do you really need your nails & hair done that badddd??? Country bunkins!!!🤦🤦🤦🤦
PearlPerlita Venegas,"Are we all supposed to sit at home collect Unemployment, Welfare & Food Stamps for months? Watch Netflix all day!!!? No! No!! Let us WORK!!!WTF"
Kunta Kinte,"Watch this backfire in your face Kemp, and for those who supports this , I feel sorry for y'all. You take all this to be a joke"
John Doe,R.i.p
ooPROTOTYPE1oo,This is like tearing your ACL yesterday and you decided to run the next day.
Jenn Tj,I didn’t know that haircut is equally important as is your life or death situation
judith sprau,All of the media forgets there are more than 329 million Americans that DO NOT have covid 19 and are not affected by it.
Derek Gabrys,"Why is mainstream news always trying to push delaying opening any business like forever? They clearly don't seem to want the country to succeeed and this virus to fizzle out. It isn't going to go away by everyone hiding in their houses all year. Why do Atlanta business owners care if the state opens up? They don't have to open their business if they feel uncomfortable. People who want to wear masks and stay 6 feet from everyone the rest of their life they are entitled to do that. Sounds like a wonderful way to live. Scared and isolated from all friends, loved ones, and the rest of society. I'd rather take my chances with the virus that 98-99 percent will recover from or maybe not even show any symptoms."
Arroway2357,"Note that every newscaster you're listening to still has a paycheck.
I work in an Atlanta grocery store. We've been open the whole time and no one has tested positive. I know this for a fact as the store would've been shut down for cleaning. We practice distancing. We clean hard surfaces and wear masks. We wash our hands and we control crowds. "
let freedomring,"All these workers are excellent examples. If you want to stay home, do so. No one is forcing you out of your home. Hibernate if you need to. No harm, no foul. This is still a free country. No one, can control sickness or their neighbor. The numbers if reported honestly, will tell."
David Bozic,I practiced my short game today and tomorrow I'm going to walk and play 18. I'm 64 and had the virus for the entire month of December.  There is nothing to fear but fear itself.🐈
casienwhey,"There is such bias in the opening statements of this newscast, just intended to create fear and spread misunderstanding.  About 600,000 Americans die from cancer every year which works out to 50,000 per month, but you don't hear her talking about that do you?  Also, she doesn't mention that many of the covid deaths were elderly and in poor health to begin with.  No doubt it's a tragedy that they died and their families mourn but she does not tell you that.  Very biased reporting intended to make a political point, not report the news."
Gezus Bravo,"Cases flatting??! We had the most covid-19 cases today. 39,000 cases today. I wonder how many cases there will be next week....."
btone31,I'll take their positions if they don't want to work.  I'm looking for work right now.
Johnny Mnemonic,"Q: Why Democrats are against reopening states?

A: It interferes with their voter fraud scheme (vote-by-mail) that they are pushing."
D Dellinger,"almost every gorcery store in the country is still open. and guees what most of the employees dealling with millions of people haven't caught this virus gee i wonder why, and grocery stores aren''t the only ones open. around here i also see a lot of construction and guess what most of those people aren't wearing mask.  ."
Mike Ladd,"The death rate is about the same as the seasonal flu so why are we, or were we ever, shut down? 70,000 dead of the flu last year. Nothing was closed."
I’m going to eat a Potato chip vertically,Isn’t the fatality only 0.5% now
Sung Shin,"U do realize the flu kills over 100,000 annually.  So, you could say the flu kills more than covid-19"
Mortyz,This seems like a Walking Dead moment
James Persinger,In two to three weeks the cases and deaths will skyrocket!
billyduran,The media's feelings aren't mixed about wanting America to burn for their ratings.
STAY HOME Stop the Spread,"No more delays, let's get back to business."
ConTroller,Did VP apologize for Trump's remarks and it pissed Trump off and he walked out of the briefing?
Robert Hawksley,People have to survive right to work right? How about prostitution ?how about dealing drugs? I guess it's time to get the government out of the way now that safety is no longer an issue
Roger D,He’s definitely not getting re-elected
President Trump's comment counterinsurgency,If they don't feel comfortable about it they should open at their own discretion they are the owners🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 with Full precautions  it could be done we must move forward
VroodenTheGreat,"How you gonna get em to go back to work when the gov't pays them more to sit home.  This is a socialists dream.
EDIT:  They want you to believe the money is free, it's not.
EDIT2:  At this point, the money IS free...   The problem is that the wealth is not free."
Ron Mayb,"Georgia are you people that desperate? Good luck but your taking unnecessary risk. And the virus can travel 12ft without the mask, that it lingers in the air for minutes, China said that it can linger in the air for minutes is scary, no wonder it's so contagious."
rick rock,i live in pa. and i  give the gov  hats off  i wish he was are gov.  this is getting out of hand  you can go to walmart  every day there making  there making  money hand of fist and other biz.  are closed  . i go out every day  to stores to parks  i keep soap and water in my truck its al about keeping clean ....... once  again hat off gov. .
O V,"People must die for others to prosper, i am for opening"
Jon Thomas,"Please stay home and continue to do nothing. Ride it out, and continue to live in fear."
Vee and Binx,Reality is.....hair cuts can wait.....no need for nails at all....take a break take break said the universe....
JosEmanuel Gomez,"If your scare...you shouldn't own a business in the first place, or start accepting food stamps.

MAGA 2020 🇺🇸!"
idk,Its also a lot less than die from the flu during a medium flu season
Corona Pyrrhus,#BurnDemocratsAlive
Shawn Smith,"This is a free country, if you wanna lock yourself inside go ahead."
JosEmanuel Gomez,"Georgia is proven to be home of the brave. God bless America 🇺🇸!
MAGA 2020 snowflakes!!!"
Differ Ability,"All I wanna know is where is ALL these billionaires and millionaires and celebries who most people worship and idolize, can't they lend a hand, after all the people have supported them, made them wealthy by patronizing their products and services. Isn't  our turn to be supported. Help with this stimulus package! I dont see ANY of them in the public offering monetary or emotional/spiritual support. I promise, in the mist of a trial, you see people's nature."
Brandon Whitner,I guess people want to look good for there funeral.
Square Hammer,"Don't think for a minute that there won't be lawsuits of customers that get sick. People are greedy, it shows by all the people that want to go back to work when it isn't safe yet"
NAZI PELOSI BISCUIT BUMPER,Coronavirus has passed Democrats want to keep you caged up like the Communist they really are
Ken M,9:01 this man is literally using people as human lab rats  to see if opening up early is safe...  SMH
Jerry Ridge,Obama Announces He Is No Longer Responsible For The Economy
Tamara Cousins,Covid19 deaths she stated is a lie. They are finding deaths not due to Virus are being count as just that.  We here in AZ Never shut/ locked down.. No business here shut down.  To all you actually believing these DEF CON STUPID Govs.  Did not shut down When H1N1 Obama mess.
Wisesaved One,Humans are so superficial  and money hungry. Your health and wealth being are so much more important!
G3N0CID3,This is a huge mistake.... I don't see how this is safe especially when top health officials are saying the COVID-19 virus can stay active on cardboard and metal surfaces when takeout packages primarily are made from tin and cardboard...
scott nguyen,Translation: Hair cuts are more important than HUMAN LIFE
Where is Justice,"Under Trump Administration, American lost their life more then any wars & 911 combined. And this number is keep increasing. Is American want to change this Administration or keep the innocent life lost?"
Chicken Little,"To Heck with the doom screaming covid p🐱ys, open the economy no matter how many suckas drop!💀. We're gonna burn the village to save one hut? GTFOH! 💥
ABC & the rest 📺 news are gonna pad the numbers anyway! Natural immunity! No tracing tracking vaccines surveillance state.
Oh, almost forgot F* Bill Gate$"
Viro Deniro,Everyone is for it until meemaw or peepaw gets sick and dies. Then its Obama's fault. They will regret it.
RK831,"The needs of the many outweigh the needs of the few.
Liberals: the needs of the few outweigh the needs of the many."
Carlos,Kemp's decision to open these businesses rather than bolster unemployment and get money into people's bank accounts is criminal and will cost lives. I'm ashamed to be a Georgian right now ...
Cant think of a name,I hope New York City is next!
The Unblinking Eye,"The scaremongering never ends.  Worldwide there have been 196K deaths, not the millions that were threatened.  Most of the world population is not on lockdown.
Outside of Wuhan, most of China never had a lockdown."
North Eastern Roberts,Let's watch the lab rats
Genevieve Thompson,I wish Atlanta and all the other States luck I live in NYC I am also a healthcare worker all I have to say good luck because you all going to need it
D Dellinger,"50k how many of those were trumped up to be covid 19, a woman in hospice care that was going to die any day was classified as covid19. a man in a motorcycle accident was classified covid19. he clearly died from the crash., and there are many more. we heard on the hot mic it is just like the regular flu as far as numbers go. all the doctors have said more than 99% of the people that get this will recover with no complications. in the whole world there are less than a quarter million and almost all of those were older people that had underlying conditions. if you are older and have underlying conditions you should take precautions, but i'm sure you already do that with the regular flu. i don't recall l;ast flu season people living in fear this. a lot of people might have already had this and didn't even know it. many people are on video saying no big deal."
Bigfat Pauly,"FIRE TRUMP #55,000"
G L,Let the dying begin.
bpxl53yewz,"Although the governor wanted all these places open, interesting that many of them chose not to and their staff thanked the owners. He's not the one who has to work and come in contact with many others, they are. Easy for him to say ""go back to work"". Georgia was only in shelter-in for 3 wks. That's nothing."
Zinxeb Zinxeb,Georgia and all of the rest of red states gave all of their state's revenue to their wealthy campaign donors...so they can't afford to pay unemployment to keep their residents home and safe.
Dalai Lama,"I heard eating watermelons helps with receding hairlines.
🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉"
Warren Goss,Stay closed and loose your business. The Democrats don't care.
E turnall,WHEN YOU TAKE THE PERSONAL AGENDA OUT OF THE PICTURE THE CLARITY FOR HUMANITY WILL OPEN. SAD FOR THOSE THAT OPEN . WEEKS LATER WHEN THOSE LOVED ONE DROP DEAD BEFORE THERE FEET THEY WILL REGRET OPENING . WHEN THE MAJORITY OF THOSE ARE AGAINST THE REOPENING THEY WILL ALWAYS LOOK AT THOSE BUSINESSES IN A BAD WAY. SO SAD TO BAD BUT WHO WANTS TO SUPPORT THOSE THAT LACK REALITY AND HAVE NO REGARD FOR THE REST OF AMERICANS
Andrew,Libertarianism is a mental illness
Lori Carver,Those are the last things that should open IN MY OPINION. I am glad to see this hair dresser wearing a face shield!!!!!! That’s awesome using protection!!!!!! Just please be careful please!!!!!!!!
gdlywom,Barbers: Please put some seats outside so your clients can sit and wait.
Courtney Renfro,You want us to stay at home . Not all companies can switch to working at home .   It’s not that hard we are adults . Either you stay home or not . You open your business or choose not to . I was walking this guy was close to me . I can’t control what people do . Why does this have to be a discussion ?!
Damien Holland,I understand the economic pressure. But I think if they drive up those pandemic numbers it might impact the economy in unexpected or worse ways (to say nothing about their hospitals having the potential for being overloaded). So this is really an experiment.
AZMademe,This can't be safe
DesperadoAmericano,"what if, now i know this is crazy, but what if i just didn't get a haircut for a whole year, and we all had a mutual agreement that long or messy hair is fine for now?"
Section8 millionaire,Don't worry lefties. Us right wing crazies will preserve your constitutional rights when the government over reaches after you sell out for a government check. You can thank us later.
Little Miss Muffet,Dont they realize that the majority that has died has been black at any age ?  The people backing this re open campaign certainly do .
Caleb Mattocks,"No one is forcing them to open, if they are afraid and dont want to open then dont open. Not a big deal."
Mike Barnes,I really hope I'm wrong but in 3 weeks or so u will all get sick for going g for a haircut. As a Canadian I feel bad for the smart Americans who take this seriously cuz it's only a small portion of population who's out and about . They just get a lot of publicity.  And yes they are social distancing and everything when the cameras are rolling
Chang Hsieh,Maybe the only way out of this is sadly for everyone to get infected and survival of the fittest.
G THE KING,Shame people are so addicted to having fun they'll kill themselves to do it......
Sam Giler,BIG MISTAKE BIG MISTAKE! GA is going to regret it i can 'guarantee' you that
J. Dillinger,And please remember as they open up all these shops and restaurants there is no cure. Enter at your own risk😲😠
Burkhold St. Rudderberg,"The Corona Virus, like Herpes, Malaria, and the Common Cold, will always be in the environment; reopening the country now or reopening the country later will not change that fact!"
Section8 millionaire,Sweden didn't close their economy. Their numbers are not as bad as you would think. js
HTPC,My family and i we will not take any chances.!! We will stay home!!! If you are in the group of the people that want to go out and get infected and die .!! Well good luck to you i hope you don’t get for family sick 😷 as well.
john wilson,Not taking any changes on this virus #stayinside #staysafe
Paul Rice,"Georgia was germ 🦠 infested before the pandemic quietly 🤫 killing people all around the state, but now we have a monster just waiting on the side walk selling death 💀 and you want me to just walk into your restaurant and order a plate of death 💀 with my hard earned money 💰no thank you ☺️ I am old and I was promised that I could stay here on earth 🌎 for 100 years and by George, Jim or Alice that what I am going to do."
graffitypsycho,Can we use the money to build the wall. To build a wall around Georgia? Keep them in a bubble with their beautiful haircut.
HTPC,We you are the that hospital bed will be too late and don’t be crying about just remember nobody but you put yourself there!! I hope you don’t suffer too much but I heard it is very painful😣
Claudette S,Willing to die and kill ppl for vanity. Gross.
lak sher,"Yup, put your life at risk for a hair cut. watch the number of cases go back up again because of this."
M J,3 billion? you can replace money but you can't replace lives
Chatty Ashley,This sucks. I understand folks need money to pay their bills. Thats the problem. I dont understand folks who cant groom themselves. Wtf.
Reb,"100 bucks says cases will spike, deaths will spike, hospitals will get overloaded, then they'll close up again."
Stephen Anthony,"This won't end well, blacks lack the common sense to social distance properly. This will decimate their populations."
